,cluster0,cluster1,cluster2,cluster3,cluster4,cluster5,cluster6,cluster7,cluster8,cluster9,cluster10,cluster11,cluster12,cluster13,cluster14,cluster15
BWM_anterior,0.07610911567851099,0.04995004355852294,0.012378072732914903,0.003877598041067862,0.016990925110556717,0.02477727295884336,0.019767511237279305,0.028386772474190393,0.005845242339707059,0.05126588898059875,0.0181120430691832,0.015735026751292423,0.02228405813972177,0.002882662090159046,0.004794921524360697,0.011583276605372715
BWM_far_posterior,0.08139754891091892,0.04427936401306246,0.01280877491484158,0.003634239074784,0.017011568485951818,0.02577103309072943,0.018161611163882183,0.02751667506044725,0.005279363747059427,0.03996203027316787,0.027245643494311786,0.0145549788219422,0.02331401040410476,0.003043880094228341,0.003949184457768919,0.012758121387587784
BWM_head_row_1,0.07362971935439772,0.0545448687072909,0.012179911577396528,0.003946047569994326,0.01894627874960437,0.026692404285620936,0.023374404087672235,0.027593195442418388,0.006139969436503738,0.05298171721268129,0.011537441557766613,0.021786384874966362,0.028414325811108615,0.0027363946353396915,0.004734819250563464,0.012704301650360725
BWM_head_row_2,0.06917209877664661,0.05047396470985942,0.01288354313332187,0.003680019203349583,0.017755039360130252,0.024401197899188768,0.02224592740490696,0.028294035795002906,0.006206322961581387,0.05640701075859668,0.011204558833387735,0.015170348370563877,0.026210824797328603,0.0026891888461085182,0.004817802314555268,0.011148260569369003
BWM_posterior,0.07965153298046049,0.045751271471349664,0.012013473066059625,0.0035721798465623853,0.016319037292659117,0.024496701696330832,0.018544143059837856,0.027515130829468944,0.0056575284724676555,0.03983178110454649,0.02948240636960627,0.01480731919872668,0.02462830152511273,0.0027802519580454673,0.004772608141673383,0.011297876926362187
