,BWM_anterior,BWM_far_posterior,BWM_head_row_1,BWM_head_row_2,BWM_posterior
lim-4,"[0.00940346530208333, 0.005038629055759192, 0.14627873992420537, -0.17211233424633987, 0.27965037409547666, -0.39010462305710875, 7.217685158072973e-05, 0.11724692707210915, 0.35976068510041775, -0.21300653596862773, 0.31931017263291467, 0.05563652091376789, 0.2744079424513813, 0.04431932508333519, 0.29678795805006347, 0.2256496651585796]","[0.27876250626594146, -0.37397782121673584, -0.4115936248940935, -0.43664713400807953, -0.26040010917042367, 0.24272293541891465, 0.69967949461975, 0.7245219193239614, -0.3592196350356819, -0.516170610654097, -0.11386345356336329, 0.7940415799083026, 0.43987748404435384, -0.39312841939343046, -0.25382794225306515, 0.8323891712010599]","[0.4930227320197118, -0.546045941980656, -0.3465180250551191, -0.5193364988121703, 0.3666138676828452, 0.10373630862618186, -0.02619335091263722, 0.5367642546954576, -0.23230459327690456, 0.18536155349021471, 0.3349820746960622, 0.6083324286661551, 0.5850244628584496, -0.5658399702135701, -0.6181472409723502, 0.6665346119873891]","[0.2900970023951547, -0.34242304643135707, -0.0425501900690488, -0.3952334951278975, 0.07370071867719816, -0.09998205830831727, -0.3469140411247616, 0.6820169446422952, -0.02321381714432111, -0.649289928221242, 0.34111869773423015, 0.49267788832781834, 0.14056349284394584, -0.3752341539058581, -0.37450545255042084, 0.6878492435602288]","[0.5472648436261365, -0.5220487518792708, 0.4607572947459412, -0.5678794116389257, -0.04786389176106465, -0.24698140258797757, 0.07394792275029821, 0.3560346005442523, 0.21993402641597398, -0.08687353913600088, 0.4385353623940672, 0.4241574082061758, 0.8452356763105923, -0.4945691917268372, -0.3390303245517685, 0.04505479835389964]"
lim-6,"[0.10732054913312758, -0.08313760582664163, 0.31936060194296156, -0.3618306755671897, 0.44881359356783534, -0.25776203550040727, 0.43295394291545364, -0.10403260511722218, -0.0023313099095608747, 0.42516415472655567, 0.05782278481313334, 0.11105390667974654, -0.09425136889321335, -0.004186606071096111, 0.38173220881746756, 0.335104776208506]",[],"[-0.24501342649826763, 0.3087932412090848, -0.058580595732833717, 0.1869054210443153, -0.18544247359823773, -0.5005254825256833, 0.26592311368375227, -0.19848177584098312, 0.44728626183876685, -0.2033591517318653, 0.18132689251752426, -0.30011915459028826, -0.2939720635702771, 0.37849601480695183, 0.19574871392343707, -0.2968233895406042]","[0.1871605870158488, -0.2312586923882809, -0.12494472767473871, -0.2826640244607333, 0.044468048374863636, -0.22104908378218688, -0.30560389155086704, 0.5797169837366636, 0.06343756910685888, -0.45171191183160786, 0.3555377185905467, 0.41535158273368383, -0.059249030406894124, -0.2468617905785217, -0.24071217333950673, 0.5555833902724854]","[-0.3318187411689554, 0.33001094511648277, -0.10315780975718661, 0.10793315162695935, 0.2635773863578122, -0.3291369197169921, 0.25717671397805086, -0.20632368259510966, -0.2807017082576372, -0.2523212283999301, -0.2947875891524268, -0.023220629746125217, 0.11980121849134062, 0.38841794529635587, 0.2821765987285394, 0.5853658959014615]"
lin-1,"[-0.6500516422910079, 0.6967863637423635, -0.07580635159932557, 0.30740094896184356, 0.49723711921775293, -0.5219301848028134, -0.3186685917709815, -0.6323036434875358, -0.06260207020168013, -0.00392691154371394, -0.34119736163666176, -0.5166587971195504, -0.41495494933908006, 0.7503891233538398, 0.9810570829586724, -0.35989965943539637]","[0.31636184534099127, -0.42180544101343764, -0.2313158988713004, -0.42059559580465666, -0.3449424709999008, 0.26477562114966785, 0.9099937897598908, 0.7606231904559969, -0.3443332573722064, -0.4211425430409326, 0.001881130009014298, 0.7975530103361622, 0.1942217038169079, -0.43388064323174136, -0.35479574622173765, 0.7541609210590807]","[0.8276959902390969, -0.8345667717777133, -0.9153923970001633, -0.8894446052166707, 0.710284037474962, -0.38647663468749216, 0.5371117158380394, 0.8907723432846151, 0.5391203421754669, -0.16541761692922466, 0.8708254547767615, 0.8084167930645008, 0.679795627977134, -0.7997887629701157, -0.9413589365516469, 0.4639991058559774]","[0.4133829392842461, -0.5060429896224816, -0.0940466038428912, -0.571005543738558, 0.26984372591084277, -0.1808531488214702, 0.6787951910394097, 0.7283578588210706, 0.07463290918447518, -0.5355811339637709, 0.5563892110094024, 0.8103195887430679, 0.13143392697080938, -0.5001795677399519, -0.5172732653167587, 0.5946692891628276]","[0.15873004666394402, -0.21086178445552817, -0.04732242600138857, -0.198999845673716, -0.28736355081137777, -0.19961535429753005, 0.22431650189977245, 0.19985272289682882, -0.0821970499976557, -0.16825965701323942, 0.16251411297953783, 0.30204650740041394, 0.5766009288843108, -0.10914457988906763, -0.45608612737670245, 0.3378299326994357]"
lin-22,[],[],[],[],[]
lin-26,"[-0.013799865091521625, 0.08468223541863021, 0.24100649834830679, -0.002426264224841636, 0.4060716422696968, -0.3755448451597877, 0.010893156727849088, -0.10180995189187499, 0.6973448892516735, -0.06234468945151338, 0.31456499631131274, -0.3134137287755729, 0.25050553927748526, 0.10796080014280587, 0.12442506533441129, 0.17308440001502895]","[-0.25080690266910943, 0.32166285004707784, -0.3064059233236961, 0.12267375251676615, 0.49556645363973273, -0.3559846324532159, -0.15415220058778245, -0.3533078703983428, 0.3681751984055432, 0.11094168529090565, 0.1815590226983519, -0.369709322935164, -0.07255257498742629, 0.33001925829545253, 0.47998282213510746, -0.31459269252244076]","[-0.7677724716211607, 0.8042640862920605, 0.5716244596174292, 0.7138318219158171, -0.5781623356429164, -0.34465457123691634, -0.35743930588651474, -0.5313096725542874, -0.17569856296077366, -0.2622123295858406, -0.07040438620905068, -0.6046755951450645, -0.1784848428291984, 0.8403472571096441, 0.6483246672617481, -0.35274196118543144]","[-0.736716294124612, 0.7755199603834945, -0.44179637778926095, 0.8272123008201483, -0.5190845564224853, 0.2029541199518979, -0.20916767914873557, -0.7457861654821385, -0.23717812950873865, 0.8197740201466496, -0.6760074515739972, -0.6527888355633277, -0.7240144328008399, 0.7311352202074672, 0.730061720358682, -0.8388742278770807]","[-0.19830533508234519, 0.19843940460444964, -0.45314117974703605, 0.17009989920040364, -0.1664644795960586, 0.048539020379935294, -0.6752322861675425, 0.0016635759577243725, -0.2075839450622542, -0.48119747653043743, -0.08502112642001275, -0.08503997958149229, -0.10277800242603517, 0.15276016810462512, 0.18865712504719048, -0.10338674450537183]"
lin-28,"[-0.5660797888630426, 0.47419811634639536, -0.7656066015052381, 0.793579614935255, -0.7007666095644485, 0.6778985715614261, -0.617870970997239, -0.2199687405822801, -0.778096874193547, -0.4214599661020012, -0.8197594300369039, -0.23016273455073932, -0.7290311445721513, 0.358466927847606, -0.031074870074978944, -0.7375159992449143]","[-0.7445436992446087, 0.6213357987031789, 0.04301515217210106, 0.7900908467179951, -0.10095709973746339, 0.6088004978279213, 0.1324243687533895, -0.10975265343742834, 0.21571257370627342, 0.3957816876584598, -0.9126643558454262, -0.3305940782207938, -0.5168679994986035, 0.5423798230681627, 0.2797147931172079, -0.2428654056634292]","[-0.962573524086641, 0.9784199029862308, 0.7190458578641684, 0.916046287730475, -0.873322390761303, 0.014081428102033916, -0.26805805103984215, -0.8009184220232455, -0.43526743892892616, -0.10437847597331518, -0.5316117888626056, -0.7578598800775181, -0.6225688713964603, 0.9812421132708022, 0.8693721718064804, -0.2817963973229641]","[-0.9342176716421766, 0.905578460580083, -0.608065524402089, 0.9240225935374242, -0.891044603023706, 0.5738465516940205, 0.1516605543359028, -0.7108856051622836, -0.7226324652125776, 0.5574889048561558, -0.823275220130661, -0.48392671379907765, -0.76874297259997, 0.8228198139112803, 0.7828043837443839, -0.8606494180269125]","[-0.8164220867268229, 0.7203100362233598, -0.638997401662464, 0.9054222152816344, -0.1931439783334314, 0.5188175473984904, -0.25953777475032663, -0.2860368398880241, -0.7208637047027466, 0.3781571938080866, -0.8654694357471957, -0.4958921067656304, -0.6367039129911182, 0.68188913705741, 0.20265534529800971, -0.08898964695630465]"
lin-29,"[-0.7744871887998961, 0.7999175101951633, -0.27042090830117943, 0.46060641904835853, 0.32925005001361785, -0.43821447497867916, -0.37382696937245796, -0.700439945265005, -0.2403805541932575, -0.07458662255190143, -0.5105536588981733, -0.5221370810138969, -0.6029125921022398, 0.8403531186654575, 0.9369154742227169, -0.4739745577560577]","[-0.4788902936635099, 0.4926801047280332, -0.18894985603191283, 0.4418217537822011, -0.041036418690659854, -0.2669180498709761, -0.14285714285714285, -0.46837967695684457, 0.7004245689297196, 0.06271862502763276, -0.3372193800522019, -0.465910739390011, -0.2583429446724691, 0.5313912672996515, 0.1641894632003268, -0.23800543150296732]","[-0.41105181028475546, 0.40630758899902447, 0.6189586823774277, 0.5710846997730955, -0.26970247100245703, 0.3255202842846115, -0.09531070186836932, -0.46742853680165214, -0.35014580917603605, -0.0327707894886078, -0.5617921475294841, -0.4564327017221305, -0.3626888181086212, 0.33980585973203103, 0.5143242393553978, -0.22612712742636124]","[0.5700892984314672, -0.47229275808392857, 0.36936856520990163, -0.40065132763484806, 0.7008233999592958, -0.46432868100842783, -0.305603891550867, -0.08586944933335278, 0.9268666061265443, 0.23044028950516018, 0.3181258567123613, -0.15384053488854005, 0.21766449104604554, -0.36812424618390416, -0.3223104282672776, 0.021757025105652267]","[0.13253935262779118, -0.1872623941501651, -0.17729436304231697, -0.16796619676670227, -0.38536458293854925, 0.023798325323187534, -0.14104843612546808, 0.4342643358368615, -0.385126356393018, -0.2816295946237577, -0.031513563182556936, 0.40849058441446306, 0.7574833338503658, -0.19256393061202431, -0.2790937687414574, 0.3276678716994721]"
lin-31,"[0.30184103377951016, -0.3345809405517646, -0.018003271355292304, -0.30877104232890207, -0.31772783929553916, 0.041197242119935855, -0.1298544920736848, 0.44401681941788684, -0.1581234676842482, -0.18125005698158417, 0.2982953889356919, 0.46276389507730065, 0.49938033706422924, -0.34578836209653935, -0.3206196369336715, -0.006861329048356745]",[],"[0.4667078757731753, -0.45968397336175487, -0.40516950690167514, -0.47281228768517514, 0.27240892659855304, -0.1217997809275908, 0.3514152528725516, 0.25183072183933647, 0.06671154556839448, 0.5754709028250868, 0.20860962078525377, 0.3564858313387256, 0.008889039575524178, -0.4225366063466274, -0.5915864352194501, 0.7529542120449697]","[-0.43811875048835835, 0.47576424376583837, -0.2709410613208387, 0.5331625229090292, -0.2203260292032102, 0.27317527564143895, -0.2529750949031546, -0.43649750289534384, -0.2667979461883434, 0.5826406049732681, -0.6438718924645864, -0.4433632526557636, -0.2768934521561388, 0.38303920139234804, 0.38802812767668104, -0.509052936997169]","[0.6815334735794263, -0.6584904202161339, 0.522468389701501, -0.6354704507559917, 0.012360549019003075, 0.08376259196205899, 0.6732858085060884, 0.3269316175194142, 0.5201149027456856, 0.10537998064687751, 0.4613447266705002, 0.41165487097953624, 0.15045582216799333, -0.6506860837139551, -0.4298892884861674, -0.12884808560122038]"
lin-32,"[0.5822793874874218, -0.6204587055648527, -0.029729784968476863, -0.6583845305887213, -0.23076407851093997, 0.0993884554004201, 0.11528578140207532, 0.8236630325997732, 0.43250293999948447, -0.4911624771689429, 0.6877982957869979, 0.7610328219371006, 0.6827415816703393, -0.6408826634285296, -0.45516326631413273, 0.5918896311302111]","[-0.26866013935868516, 0.3375953695120172, -0.10079085945841142, -0.02190735218483937, 0.8346688958694469, -0.2962906292568305, -0.11480786504100297, -0.3668037867822496, 0.27380699433078715, -0.16960039973188581, -0.11220071105733498, -0.2537778400401423, -0.09327525994589911, 0.3527033307100644, 0.7195258673937595, -0.2519094311280745]","[0.3670625502018096, -0.39806465145569686, -0.20906261764428233, -0.40380484214020756, 0.41018635063564834, -0.16484789495392252, -0.3259457956585088, 0.5425332220002796, -0.08685175993797957, -0.10278388077875383, 0.5691329883522227, 0.48720350275343677, 0.8684732143373766, -0.3958514282359358, -0.4693003706725185, 0.28015700726485576]","[0.6046070138626921, -0.6387026499777122, 0.46332558392071016, -0.6881778480808354, 0.523612798835985, -0.14538153033348142, 0.46670971434906683, 0.6341195033854023, 0.0734918557893745, -0.6117491541893293, 0.5394256805478314, 0.5763622285918071, 0.7967152638194779, -0.619323583947152, -0.6189005758662808, 0.6975372560249684]","[0.19022936927186163, -0.23749172028905713, -0.17785307053858185, -0.29495221213993206, -0.3025670114242027, -0.01831965821426111, 0.1901203101144192, 0.5262160303577572, -0.391291366192552, -0.3846797064006457, -0.027911190029119126, 0.5790140250903106, 0.755078901553131, -0.26761216199504706, -0.13883235171926678, 0.7049018517293208]"
lin-36,"[-0.9249301511389146, 0.9277323731520221, -0.45684073750477205, 0.9130820027007343, -0.05754632093969403, -0.17954202568974859, -0.6287698661517156, -0.8002929488172852, -0.5149836892974224, -0.1363083259855008, -0.7720911643562348, -0.7416649420354875, -0.7154843925238223, 0.9138280222207014, 0.6017089388673238, -0.8925575248466893]","[-0.9691607449620475, 0.9902229854431437, -0.05075326108927311, 0.8557273283311576, 0.5720785904833513, -0.17511431861995555, -0.30691550473529994, -0.8156979051983192, 0.7575571301111999, 0.46554470547548965, -0.697839278367381, -0.8859821225276933, -0.47777932330567896, 0.9790777790647494, 0.8447194076019212, -0.5675900438993959]","[0.2514102104775946, -0.23037140561839498, -0.4229146160418127, -0.37657348326228074, 0.3070091635638411, -0.6790346060553827, -0.019835683944798788, 0.5065458370575643, 0.359220018025355, -0.3046388541296414, 0.8805412055995516, 0.36186095037474125, 0.716024432559797, -0.15637501621742042, -0.4457471430979281, 0.1358884128023382]","[-0.7153329766500122, 0.7650911359923842, -0.3172096768809053, 0.8196529238406601, -0.4428435381676776, 0.2076381716813401, -0.09019267024096417, -0.7974974801885991, -0.2557049441618145, 0.8715526808510542, -0.6849297781535173, -0.6973049992147057, -0.5691867800032908, 0.7247479667227299, 0.7258881388883285, -0.8669590399485161]","[-0.964219195717004, 0.9746881420092063, -0.23895578124488662, 0.9436846259478583, 0.43100598475267865, -0.07547824205859544, -0.48188235101161725, -0.7898736751705248, -0.3879461788483146, 0.4408224728444955, -0.6995917403411124, -0.8724815209213164, -0.6889556472949583, 0.9796589477229285, 0.7123870864869197, -0.14747438363095366]"
lin-39,"[-0.31802658290010605, 0.244614453960539, -0.46479886431594486, 0.6467479955788736, -0.5782601522192582, 0.6277823033440666, -0.38960763946094984, -0.09544762410625882, -0.5531846519805141, -0.24537073325302106, -0.5845168280659179, -0.20716911416340755, -0.4828901914065733, 0.1447201682258335, -0.21599696738532154, -0.5226391796518775]","[0.45347181091165234, -0.5477757668284113, -0.10135504949935831, -0.5150315062354233, -0.3801539226968622, 0.30576172065003443, 0.6842973371537492, 0.7765598050754651, -0.5385344847809651, -0.4538164246929337, -0.004288622884688759, 0.8539516044027312, 0.3753814713741607, -0.561136911568752, -0.4420557408704743, 0.8072312221520765]","[0.027615735706717465, -0.08284047625913879, 0.07324779326587628, 0.04597645433176535, 0.009329553361481342, 0.29025679429178103, 0.1828403618679229, 0.13984711203905384, -0.4096722226917341, -0.12930543492909313, -0.08901802474473658, 0.18860916678030282, 0.1517659506548934, -0.15879498291874694, -0.11440283630265577, 0.4077112056880634]","[-0.42922306726980247, 0.4448313339955197, -0.3469098513270531, 0.4946631594301977, -0.23962312215459963, 0.31811897029601677, -0.06734281818845568, -0.36667530962159156, -0.32199197003263175, 0.5283668768858244, -0.6264963221887097, -0.3200821456199055, -0.30771271844524745, 0.34386709624846373, 0.3399379961752075, -0.4846290185080624]","[-0.3905137932456692, 0.26775080667071627, -0.5888253329432445, 0.6291941052204364, -0.5789155219620993, 0.7425758609489762, -0.24850738008082832, 0.11014851025708217, -0.567145003539745, 0.44673577006890286, -0.5425802021205557, -0.19333073706695267, -0.3921066386784081, 0.20354736743117186, -0.23439899193853542, -0.26240195181298276]"
lin-40,"[-0.9749288607499224, 0.9746502009624431, -0.49598625315113254, 0.9313225934376543, -0.025317286392657096, -0.07354726593960667, -0.6581424311816457, -0.8443356567459076, -0.5717233235815341, -0.12356765670866046, -0.8810754866925516, -0.7763960360219345, -0.8490740594791191, 0.9511641175609069, 0.7156754115582584, -0.9147628578421507]","[-0.8729892556429278, 0.8136822956476021, 0.2147878436432125, 0.9826208803659386, 0.052178201872435506, 0.2849597251833814, -0.23607118812441008, -0.5232056514057447, 0.38675316709065544, 0.6946787024136175, -0.8623280942552604, -0.7074915115898393, -0.4834019164799388, 0.7595519060961005, 0.4339375827542511, -0.4160056604443831]","[-0.9765980072889339, 0.9973632838137179, 0.8118171446316286, 0.9683823901916033, -0.8572564959039015, 0.05656748271542872, -0.3090026421473371, -0.8680068573197421, -0.44617741106735365, -0.054890431242326454, -0.6151397751272765, -0.8283830877681732, -0.6702633874104432, 0.9938308836044367, 0.9265742499410908, -0.3437289131264716]","[-0.9577398366650028, 0.9790139971530649, -0.3133137971995601, 0.9790741696355456, -0.7947915282016418, 0.18569548086406984, -0.05424143404426909, -0.8328112693775019, -0.47949871233010766, 0.707144004946133, -0.569202145346577, -0.7244277079273387, -0.7071783755972716, 0.9737745312988919, 0.9615898921688815, -0.8551458760572023]","[-0.9426987696276121, 0.9151636887810065, -0.37013750965138736, 0.9948487155196097, 0.20828310228047914, 0.1836415662602796, -0.4693666695231117, -0.6410323647252462, -0.5078407126037965, 0.5191674964191787, -0.7844757081779593, -0.8053554891020189, -0.7265736310765579, 0.8959607063699808, 0.5439607737241418, -0.22296377098979472]"
lin-48,"[0.1904745885705258, -0.2871960183159149, -0.37799141424220006, -0.2408149265168894, -0.4603431719359607, 0.487438797016443, 0.1216613932550511, 0.436974930667375, -0.36534618325089374, -0.2788988175621634, -0.0757192484252977, 0.626900765192723, -0.16956932399011115, -0.3273839024358294, -0.23402993223181323, 0.24903113015624162]","[-0.008175032171817073, -0.07192311132181908, -0.07407807318479775, 0.0791651385224792, -0.2717869636075557, 0.7393920529642063, -0.14285714285714285, 0.299781613122722, -0.2132194375477382, -0.16422549584009524, -0.25565735968039216, 0.11312389281994255, -0.24882910124026716, -0.14288904675888178, -0.1900205456765764, -0.3285046005610394]",[],[],"[0.6595579097084597, -0.6046291932593137, 0.7516823902944764, -0.6588495835873407, 0.16675341178154568, -0.34067950111230716, 0.41077464475532877, 0.20247436946844355, 0.5509509375149845, 0.15655341831423814, 0.6025507631759776, 0.3394741701675487, 0.6323155313582726, -0.5448856923705904, -0.35052884859552513, -0.04685270617048021]"
lin-54,"[-0.7763607094037936, 0.8355516252417194, -0.06317885601320677, 0.5111118535418426, 0.505254571172066, -0.5612241523050006, -0.33544904277232096, -0.8386506007098488, -0.14238580811804719, 0.12680801747736326, -0.4855164159993751, -0.7276061541267838, -0.5420338104806652, 0.8924363993562459, 0.9749098038121704, -0.5243280802692772]","[-0.8620161290689159, 0.8898474111029947, -0.23020813077207522, 0.6833520681463544, 0.5774766409491972, -0.35322847556301423, -0.26470627569407706, -0.7136027078227758, 0.6424439445286355, 0.34572741537547924, -0.7040286954019137, -0.6802821141092372, -0.026838680555581584, 0.8899261289055107, 0.8351523358547072, -0.125998042718833]","[-0.06047807603973909, -0.06849411467494465, -0.10930640730033735, 0.02533692305595328, -0.3166091563217375, 0.8418140731916862, 0.37782010061612226, 0.17221381442180098, -0.7613194108162664, -0.24181951533076618, -0.4437977156011757, 0.38267707620161434, -0.10666420626773593, -0.20367550330609824, -0.06480240423750903, 0.6086354147865035]","[-0.45450285024507775, 0.43547435477789453, -0.5863596750099523, 0.5032366858223214, -0.42374979657674994, 0.6604749802133905, -0.06216798487964037, -0.3593240992251691, -0.5014520772003934, 0.3777354864941202, -0.8564996748067031, -0.2196070058602992, -0.4333985031714945, 0.28823363652622236, 0.25983653444004856, -0.5450904603597014]","[-0.8603179990859425, 0.9335116407358278, -0.005018290580365625, 0.7392148860872998, 0.7273576092507718, -0.38425418522725613, -0.5044590630579933, -0.9015100126421027, -0.14887698241821767, 0.24492202465726393, -0.5048933905723272, -0.8765709185449918, -0.6103803158120183, 0.9535940536960519, 0.903855141707518, -0.12491899696306061]"
lir-1,"[-0.9411627209722433, 0.9258382005804454, -0.6002638087141243, 0.9605453501322334, -0.18937293463367655, -0.017952745294349454, -0.723500149931217, -0.7204682084852769, -0.5246647370453881, -0.302586544928944, -0.8134254431269583, -0.6982117270272531, -0.7605830654083924, 0.8832248012463033, 0.5398001358933986, -0.9102586354934065]","[-0.49403038544586536, 0.49277599263229477, 0.3185094227043693, 0.4267246321746203, 0.3088925219893744, -0.0015963483908681547, 0.14865236429301054, -0.43846586186065334, 0.5504245424399143, 0.1472023329712538, -0.3103561554279658, -0.48707711679449917, -0.8619097951618674, 0.5109013583019262, 0.3777873881779224, -0.623055391262503]","[-0.8722287262887102, 0.9209574945639737, 0.8283419216580281, 0.8823068702968402, -0.6947135606515988, -0.20495707306080932, -0.44486739512538975, -0.8257933990822399, -0.34689928532866726, 0.12536055024720558, -0.39920330795884923, -0.8245321941133313, -0.48921376750788637, 0.9545740585326573, 0.7941060644472686, -0.2641626848183844]","[-0.5384364257317451, 0.5752823898872717, -0.38756000005593855, 0.6477200909639174, -0.34281244679386585, 0.3684465513611651, -0.2381291053071536, -0.5944907533345488, -0.2820052838935712, 0.6817972898623953, -0.7696317566680684, -0.5309207433773376, -0.45100646749519147, 0.48379775413605564, 0.4812010797679716, -0.6935934404735385]","[-0.9190291536564917, 0.8683170123916265, -0.482759906816742, 0.8943181599415231, 0.10737476175837482, 0.12147942245590763, -0.34210344707123785, -0.5111336933518734, -0.6525218382581017, 0.2791140282158422, -0.8139904388898352, -0.6107486238959116, -0.48491738043962135, 0.8722422385050155, 0.44818369134653463, 0.06270049864767799]"
lir-2,"[-0.19207133486870678, 0.22672761021895976, -0.06695265428509292, 0.23266580136242856, 0.08189311582661912, -0.28941661526179396, -0.2520461121162988, -0.09806619588790244, 0.45158295993348824, -0.32991133838459624, 0.15804689727004717, -0.2904862819929572, 0.16288939768961705, 0.2195470461582295, 0.035857657122665074, -0.08996567055554522]","[-0.3566023598848052, 0.2851374567766527, -0.16776794261124622, 0.38339753764345696, -0.24926886399574766, -0.025487524848811338, 0.23219800167886395, 0.019984268813463574, 0.028842488017456383, 0.3195577816009808, -0.5608791975191391, 0.028365853129032323, 0.3873659931396621, 0.2652228297902786, 0.045654297074980366, 0.6540840096424627]","[-0.973361684468466, 0.9494695373888713, 0.6832486194044689, 0.9258183508354658, -0.897447702454072, 0.2308920133146851, -0.18785900578593256, -0.6735871913441801, -0.5821033557300408, -0.39108143510734616, -0.5747336925203271, -0.6266507474527719, -0.5153071341541399, 0.9037800291523196, 0.8756621666948265, -0.27993165466777103]","[-0.5944996671180534, 0.5644416481269869, -0.5612041057292037, 0.5834933243434153, -0.5202133582787027, 0.44409929774715223, -0.0579238314349938, -0.25109596877634993, -0.5831770203784757, 0.35067132104257664, -0.6664114635986956, -0.18778637269850945, -0.49895770559226427, 0.4336606953221256, 0.41209274069326685, -0.42006717995090703]","[-0.7331613969704169, 0.6604799924246925, -0.6518901938357519, 0.7336344335126442, -0.19223958058640256, 0.1354897805190921, -0.4704242574931259, -0.28943047413949086, -0.6287361303606818, 0.0065309425663553355, -0.6030988667508277, -0.4014184109674369, -0.28267352085941877, 0.6753675164895192, 0.19226851606726975, 0.0845485325440544]"
lir-3,"[-0.5609801256750654, 0.5215414962678411, -0.4875652708292813, 0.7392983169368891, -0.4580928975817503, 0.10555910144187584, -0.5490411715880009, -0.3572444000521959, -0.5626538770059291, -0.25660615990592356, -0.549543872729956, -0.356893416504951, -0.3969654442724716, 0.4717131491923978, 0.008900607513901863, -0.7527673986578762]","[0.29776481432593654, -0.3467433135336681, 0.0490433436536661, -0.23236654180291266, -0.40589986348156376, -0.10272014873627613, 0.5119047579997866, 0.41546145374848187, -0.3726913805148483, 0.045502495613899796, 0.0652160456502517, 0.5137333338123955, 0.5087500180790528, -0.3336721071068442, -0.3876813806045389, 0.8806534384315674]","[-0.20528935360689887, 0.2472073042945211, 0.27487318164777585, 0.3450746774151644, -0.04119918961437126, -0.0023350219554164053, 0.20087092774319354, -0.3235051792531199, 0.2774161252288647, -0.21018121599513265, -0.27971256189122085, -0.4260044516520883, -0.4064590367604572, 0.22947946427501095, 0.39283198361569077, -0.5648986666711259]","[-0.041259978270420786, 0.15036602855130704, 0.7129937546853796, 0.16171520767108538, 0.28908768195529105, -0.30587476383320955, -0.01939523944118078, -0.45920848903889977, 0.1631326172934494, 0.443668168246346, 0.06325155486373629, -0.5810764682497845, 0.5424975221117737, 0.23225152147317274, 0.27169154930729317, -0.22486204479535693]","[-0.7683513624117395, 0.732421424793581, -0.3475464032335063, 0.8925397477048709, 0.02919907302968311, 0.18057996977891266, -0.571073899375819, -0.5700347165811149, -0.34532712218171563, 0.5124890373870946, -0.5517405012381694, -0.7587874046631085, -0.6358295585977763, 0.7451077482526383, 0.2673806504930677, -0.4273489493559238]"
lpd-2,"[-0.9156432301917952, 0.9016699089916997, -0.5536741071604716, 0.980355820345882, -0.19743880836480726, 0.03851772695209607, -0.6889879215363728, -0.7440148840535797, -0.580477960068992, -0.20441381207918286, -0.8539369591491766, -0.7282033460378016, -0.7833193408260444, 0.856934489816346, 0.4921604771090241, -0.9368486579330689]","[-0.9492639108841384, 0.9737280324576483, -0.06177790647382432, 0.8012703074757983, 0.5561315910781417, -0.32298298712675716, -0.17751473609030788, -0.8153665598964098, 0.8148427323235339, 0.4095457120682756, -0.6992691315734074, -0.8227452942055687, -0.4042382461177938, 0.9841257347461219, 0.823755482797212, -0.3909179856324097]","[-0.9556652151256918, 0.9761748220239778, 0.8937773692163153, 0.9963842586082188, -0.8102100709776592, 0.15882155765271122, -0.343282310533122, -0.9119874159630974, -0.4623804669353694, -0.013324726026451739, -0.7267027395295831, -0.8725780768324014, -0.7108780571652555, 0.9574269582403642, 0.9718247612459281, -0.42059711650004855]","[-0.9320779812067621, 0.9639743576877008, -0.2658108166157503, 0.9788729177712515, -0.7335193586922266, 0.2846219539149092, -0.1371709675733781, -0.8320024679598366, -0.5522079835609794, 0.7239853563955282, -0.6955810545011547, -0.7639184394899193, -0.5596091025772677, 0.9258221570307226, 0.9165457338231773, -0.8435932804762479]","[-0.9579342963217022, 0.9460406545257267, -0.3228078036516291, 0.9707714863128375, 0.2883153501479663, 0.051823338687731854, -0.5533169171485128, -0.7032429200851428, -0.47975551748013795, 0.43973833144590857, -0.7502152550711044, -0.8354132202110225, -0.6472407642891007, 0.9437372212652837, 0.5942752984566617, -0.2225460549321289]"
